,n,index,virt_addr,latency,hit_cluster,round,r
102,1024.0,824.0,139961697305400.0,81.0,0,0.0,0
103,1024.0,832.0,139961697305408.0,83.0,0,0.0,0
104,1024.0,840.0,139961697305416.0,78.0,0,0.0,0
105,1024.0,848.0,139961697305424.0,82.0,0,0.0,0
106,1024.0,856.0,139961697305432.0,81.0,0,0.0,0
107,1024.0,864.0,139961697305440.0,83.0,0,0.0,0
108,1024.0,872.0,139961697305448.0,78.0,0,0.0,0
109,1024.0,880.0,139961697305456.0,82.0,0,0.0,0
110,1024.0,888.0,139961697305464.0,81.0,0,0.0,0
111,1024.0,896.0,139961697305472.0,83.0,0,0.0,0
112,1024.0,904.0,139961697305480.0,78.0,0,0.0,0
113,1024.0,912.0,139961697305488.0,82.0,0,0.0,0
114,1024.0,920.0,139961697305496.0,81.0,0,0.0,0
115,1024.0,928.0,139961697305504.0,83.0,0,0.0,0
116,1024.0,936.0,139961697305512.0,78.0,0,0.0,0
117,1024.0,944.0,139961697305520.0,82.0,0,0.0,0
118,1024.0,952.0,139961697305528.0,81.0,0,0.0,0
119,1024.0,960.0,139961697305536.0,83.0,0,0.0,0
120,1024.0,968.0,139961697305544.0,78.0,0,0.0,0
121,1024.0,976.0,139961697305552.0,82.0,0,0.0,0
122,1024.0,984.0,139961697305560.0,81.0,0,0.0,0
123,1024.0,992.0,139961697305568.0,83.0,0,0.0,0
124,1024.0,1000.0,139961697305576.0,78.0,0,0.0,0
125,1024.0,1008.0,139961697305584.0,82.0,0,0.0,0
126,1024.0,1016.0,139961697305592.0,81.0,0,0.0,0
127,1024.0,0.0,139961697304576.0,83.0,0,0.0,0
