,n,index,virt_addr,latency,hit_cluster,round,r
105,1024.0,848.0,3221226312.0,82.0,0,0.0,0
106,1024.0,856.0,3221226320.0,82.0,0,0.0,0
107,1024.0,864.0,3221226328.0,82.0,0,0.0,0
108,1024.0,872.0,3221226336.0,82.0,0,0.0,0
109,1024.0,880.0,3221226344.0,82.0,0,0.0,0
110,1024.0,888.0,3221226352.0,82.0,0,0.0,0
111,1024.0,896.0,3221226360.0,82.0,0,0.0,0
112,1024.0,904.0,3221226368.0,82.0,0,0.0,0
113,1024.0,912.0,3221226376.0,82.0,0,0.0,0
114,1024.0,920.0,3221226384.0,82.0,0,0.0,0
115,1024.0,928.0,3221226392.0,82.0,0,0.0,0
116,1024.0,936.0,3221226400.0,82.0,0,0.0,0
117,1024.0,944.0,3221226408.0,82.0,0,0.0,0
118,1024.0,952.0,3221226416.0,82.0,0,0.0,0
119,1024.0,960.0,3221226424.0,82.0,0,0.0,0
120,1024.0,968.0,3221226432.0,82.0,0,0.0,0
121,1024.0,976.0,3221226440.0,82.0,0,0.0,0
122,1024.0,984.0,3221226448.0,82.0,0,0.0,0
123,1024.0,992.0,3221226456.0,82.0,0,0.0,0
124,1024.0,1000.0,3221226464.0,82.0,0,0.0,0
125,1024.0,1008.0,3221226472.0,82.0,0,0.0,0
126,1024.0,1016.0,3221226480.0,82.0,0,0.0,0
127,1024.0,0.0,3221226488.0,82.0,0,0.0,0
